basin,nse_1day(s),nse_2day(s),nse_3day(s),nse_4day(s),nse_5day(s),nse_6day(s),nse_7day(s),nse
03/02082950,0.512407124042511,0.5095516443252563,0.5098989605903625,0.5145813822746277,0.5222554206848145,0.5354393124580383,0.5123478770256042,0.5166390538215637
03/02096846,0.390462189912796,0.3722798228263855,0.37479841709136963,0.36707603931427,0.381671667098999,0.3838023543357849,0.4003307819366455,0.381488561630249
03/02102908,0.32775452733039856,0.35919618606567383,0.35802626609802246,0.3629382848739624,0.3702170252799988,0.3757585287094116,0.3850598633289337,0.3626914918422699
03/02111180,0.33464452624320984,0.3367833197116852,0.33844566345214844,0.3435124456882477,0.35165849328041077,0.35442039370536804,0.38223567605018616,0.3488059639930725
03/02111500,0.30540916323661804,0.3279873728752136,0.3344690501689911,0.33621078729629517,0.33458176255226135,0.33647969365119934,0.42774951457977295,0.34325918555259705
03/02112120,0.29563087224960327,0.31057894229888916,0.3167358636856079,0.3221292197704315,0.3244118392467499,0.32376858592033386,0.3880339562892914,0.3258986175060272
03/02112360,0.2125077098608017,0.23742005228996277,0.250039279460907,0.2619174122810364,0.2617672085762024,0.2676997482776642,0.29455214738845825,0.2551236152648926
03/02118500,0.2378871887922287,0.24797269701957703,0.2397058755159378,0.23319783806800842,0.2406330108642578,0.2446516752243042,0.29986053705215454,0.24912883341312408
03/02125000,0.3746262788772583,0.38716375827789307,0.4184994399547577,0.4251708388328552,0.4554814398288727,0.4601822793483734,0.59779953956604,0.44551295042037964
03/02140991,0.2460310161113739,0.24334515631198883,0.24492111802101135,0.24935504794120789,0.25075238943099976,0.25731825828552246,0.2919996678829193,0.2548128068447113
03/02143000,0.24518699944019318,0.2751356065273285,0.26345422863960266,0.26489755511283875,0.27389565110206604,0.27395743131637573,0.3680361211299896,0.28065425157546997
03/02149000,0.2121518850326538,0.2575393319129944,0.25865912437438965,0.2651526927947998,0.28094953298568726,0.2847813069820404,0.28317785263061523,0.2632019519805908
03/02152100,0.2838038504123688,0.3083961606025696,0.31606802344322205,0.3555499315261841,0.3660074770450592,0.3636486530303955,0.5003219246864319,0.35626018047332764
03/02178400,0.1594529151916504,0.15776370465755463,0.1591084897518158,0.15794052183628082,0.15431943535804749,0.14920440316200256,0.1980147510766983,0.16225895285606384
03/02193340,0.3257012367248535,0.3138866722583771,0.3033146560192108,0.29675135016441345,0.2968195676803589,0.3089366853237152,0.372500479221344,0.31684452295303345
